Pt_name,East,North,Elevation,Depth,Code
bathy_tfcf,407021.806999999971595,7400265.780000000260770,-3.569000000000000,-1.800000000000000, 
bathy_tfcg,407020.804999999993015,7400266.207999999634922,-3.536000000000000,-1.680000000000000, 
bathy_tfch,407019.667000000015832,7400266.373999999836087,-3.610000000000000,-1.640000000000000, 
bathy_tfci,407018.563000000023749,7400266.591000000014901,-3.643000000000000,-1.680000000000000, 
bathy_tfcj,407017.314000000013039,7400266.695000000298023,-3.673000000000000,-1.640000000000000, 
bathy_tfck,407016.064000000013039,7400266.855000000447035,-3.605000000000000,-1.730000000000000, 
bathy_tfcl,407015.063000000023749,7400266.929999999701977,-3.596000000000000,-1.710000000000000, 
bathy_tfcm,407013.762999999977183,7400267.015999999828637,-3.542000000000000,-1.760000000000000, 
bathy_tfcn,407012.753000000026077,7400267.084999999962747,-3.538000000000000,-1.760000000000000, 
bathy_tfco,407011.717000000004191,7400267.137000000104308,-3.533000000000000,-1.740000000000000, 
bathy_tfcp,407010.645000000018626,7400267.218000000342727,-3.564000000000000,-1.690000000000000, 
bathy_tfcq,407009.586000000010245,7400267.315000000409782,-3.572000000000000,-1.710000000000000, 
bathy_tfcr,407008.500000000000000,7400267.406999999657273,-3.622000000000000,-1.630000000000000, 
bathy_tfcs,407007.440000000002328,7400267.441999999806285,-3.598000000000000,-1.700000000000000, 
bathy_tfct,407006.395000000018626,7400267.543999999761581,-3.531000000000000,-1.810000000000000, 
bathy_tfcu,407005.337999999988824,7400267.476999999955297,-3.549000000000000,-1.720000000000000, 
bathy_tfcv,407004.250000000000000,7400267.421000000089407,-3.567000000000000,-1.760000000000000, 
bathy_tfcw,407003.184000000008382,7400267.379999999888241,-3.596000000000000,-1.760000000000000, 
bathy_tfcx,407002.113000000012107,7400267.252000000327826,-3.637000000000000,-1.730000000000000, 
bathy_tfcy,407001.088999999978114,7400267.180999999865890,-3.585000000000000,-1.780000000000000, 
bathy_tfcz,407000.052000000025146,7400267.109000000171363,-3.558000000000000,-1.830000000000000, 
bathy_tfda,406999.016999999992549,7400266.939000000245869,-3.564000000000000,-1.840000000000000, 
bathy_tfdb,406998.014000000024680,7400266.847000000067055,-3.526000000000000,-1.890000000000000, 
bathy_tfdc,406996.715000000025611,7400266.694000000134110,-3.567000000000000,-1.800000000000000, 
bathy_tfdd,406995.447999999974854,7400266.515999999828637,-3.563000000000000,-1.840000000000000, 
bathy_tfde,406994.422000000020489,7400266.394999999552965,-3.496000000000000,-1.920000000000000, 
bathy_tfdf,406993.412000000011176,7400266.305999999865890,-3.446000000000000,-1.890000000000000, 
bathy_tfdg,406991.770000000018626,7400266.132000000216067,-3.541000000000000,-1.850000000000000, 
bathy_tfdh,406990.744999999995343,7400265.961000000126660,-3.568000000000000,-1.800000000000000, 
bathy_tfdi,406989.744000000006054,7400265.804999999701977,-3.559000000000000,-1.820000000000000, 
bathy_tfdj,406988.723999999987427,7400265.617999999783933,-3.548000000000000,-1.820000000000000, 
bathy_tfdk,406987.700000000011642,7400265.338000000454485,-3.538000000000000,-1.850000000000000, 
bathy_tfdl,406986.697999999974854,7400265.225999999791384,-3.506000000000000,-1.900000000000000, 
bathy_tfdm,406985.670999999972992,7400265.000000000000000,-3.573000000000000,-1.780000000000000, 
bathy_tfdn,406984.645000000018626,7400264.786000000312924,-3.582000000000000,-1.830000000000000, 
bathy_tfdo,406983.583999999973457,7400264.560999999754131,-3.588000000000000,-1.810000000000000, 
bathy_tfdp,406982.570000000006985,7400264.351999999955297,-3.541000000000000,-1.840000000000000, 
bathy_tfdq,406981.571999999985565,7400264.156999999657273,-3.507000000000000,-1.870000000000000, 
