Site,lat,long,Bathymetry,Zone
0,-23.489207,152.070128,-1.327197,Lagoon 3
2,-23.498882,152.092297,-1.428321,Reef flat
3,-23.500476,152.091281,-1.57498,Lagoon 1
4,-23.500152,152.091837,-1.933907,Reef flat
5,-23.499853,152.092131,-2.580583,Reef flat
7,-23.498092,152.091022,-2.26111,Lagoon 1
8,-23.492845,152.089544,-1.341274,Reef flat
9,-23.4928,152.089683,-1.415033,Reef flat
11,-23.492266,152.089092,-1.405392,Reef flat
13,-23.50031,152.061933,-0.921751,Lagoon 2
14,-23.501572,152.060249,-0.824794,Lagoon 2
15,-23.501834,152.059828,-2.948648,Lagoon 2
16,-23.502172,152.059382,-3.642894,Lagoon 2
17,-23.502886,152.058394,-1.689939,Lagoon 2
18,-23.503228,152.057981,-1.876257,Lagoon 2
19,-23.503404,152.057683,-2.469748,Lagoon 2
20,-23.503565,152.05743,-0.714277,Lagoon 2
21,-23.503972,152.056929,-0.769514,Lagoon 2
22,-23.504272,152.056533,-4.961493,Lagoon 2
23,-23.50335,152.05604,-5.257998,Lagoon 2
24,-23.503453,152.055882,-2.449918,Lagoon 2
25,-23.504072,152.055577,-1.358791,Lagoon 2
26,-23.498088,152.058877,-5.386763,Lagoon 2
27,-23.498258,152.058679,-4.851449,Lagoon 2
28,-23.498524,152.058468,-0.621958,Lagoon 3
29,-23.49876,152.058284,-0.531709,Lagoon 3
30,-23.49899,152.057584,-1.503568,Lagoon 3
31,-23.499227,152.057354,-1.382468,Lagoon 3
32,-23.500623,152.06162,-4.241886,Lagoon 2
33,-23.50082,152.061394,-4.541992,Lagoon 2
34,-23.500972,152.061236,-2.149689,Lagoon 2
35,-23.501174,152.060968,-1.208638,Lagoon 2
36,-23.501554,152.060092,-1.494653,Lagoon 2
37,-23.501603,152.059901,-4.814679,Lagoon 2
38,-23.501803,152.059511,-1.586248,Lagoon 2
39,-23.501818,152.058972,-1.258937,Lagoon 2
40,-23.501912,152.058678,-1.272188,Lagoon 2
41,-23.501791,152.058173,-2.700625,Lagoon 2
42,-23.501705,152.057793,-1.999031,Lagoon 2
43,-23.501624,152.057526,-3.38837,Lagoon 2
44,-23.503456,152.057351,-1.070487,Lagoon 2
45,-23.505495,152.057678,-1.584713,Lagoon 2
46,-23.505905,152.060026,-0.676636,Lagoon 2
47,-23.505659,152.062189,-0.871049,Lagoon 2
48,-23.503434,152.059867,-1.025468,Lagoon 2
49,-23.500189,152.062122,-0.863492,Lagoon 2
50,-23.500174,152.061765,-4.093949,Lagoon 2
51,-23.499052,152.063264,-0.980265,Lagoon 2
52,-23.494088,152.068068,-4.269212,Lagoon 1
