lat lon wh time ws
-23.322323 152.84644 1.279 11370.828019296168 4.5299997
-23.342712 152.85216 3.029 11380.743672417477 11.62
-23.33941 152.84512 1.7630001 11390.659330873867 8.719999
-23.365284 152.85379 1.1420001 11400.574994665105 6.1949997
-23.358429 152.85048 1.3895001 11410.490645616315 6.79
-23.351543 152.84766 1.7120001 11420.406289062463 9.655
-23.3359 152.84126 1.473 11430.321922923904 7.285
-23.363176 152.85431 2.3780003 11440.237564900715 10.645
-23.351694 152.8523 1.0665001 11450.153195687744 4.9799995
-23.337719 152.85248 1.179 11460.068823349604 5.58
-23.323372 152.84665 1.08 11469.98446958192 6.7749996
-23.320131 152.84329 1.4285002 11479.900120804377 8.059999
-23.334463 152.84665 2.0210001 11489.815775101306 8.37
-23.345043 152.8483 1.3800001 11499.731427860912 4.1049995
-23.363503 152.85437 0.98200005 11509.647082519485 8.01
-23.999327 152.99986 1.639 11514.047127549886 6.41
-23.359186 152.85117 4.2190003 11519.562731300655 13.584999
-23.331345 152.83813 1.4360001 11529.478371310746 4.97
-23.33468 152.84036 3.0435 11539.3940120443 12.75
-23.364363 152.85461 2.8655 11549.309657298843 13.264999
-23.340164 152.84497 1.1085 11559.225288379821 5.5099998
-23.33625 152.84648 1.424 11569.140923235915 8.2
-23.32682 152.84787 1.29 11579.056554333714 6.7
-23.324131 152.84573 0.69850004 11588.972204408958 2.4650002
-23.341896 152.85199 1.8840001 11598.887858796283 11.46
-23.35345 152.85431 2.1350002 11608.803509747493 11.459999
-23.358541 152.85344 1.0680001 11618.719157895655 6.965
-23.36244 152.85365 1.211 11628.634805320413 7.27
    
-23.338205 152.84718 3.6560001 11648.466085159918 10.66
-23.342648 152.85223 0.85800004 11658.381724220526 5.99
-23.32663 152.84714 2.619 11668.297356183117 12.174999
-23.327078 152.84973 0.95600003 11678.212991084321 2.9099998
    
-23.333214 152.8493 1.4035001 11698.044280333328 5.045
-23.331043 152.84671 0.98700005 11707.959927842836 6.7799997
-23.347565 152.85196 1.7305001 11717.875578613253 8.545
-23.36309 152.85637 2.5875 11727.791228298622 7.7699995
-23.336626 152.84363 0.704 11737.706868037465 3.84
-23.357635 152.85367 1.674 11747.62251907913 7.13
-23.319748 152.83876 1.799 11757.53815303091 6.455
-23.349257 152.85452 1.6930001 11767.45379891852 9.674999
-23.341408 152.85307 1.0860001 11777.369432418258 6.0699997
-23.324547 152.8476 1.4760001 11787.285061645496 6.045
-23.33922 152.85182 2.5890002 11797.200713342754 11.55
-23.338526 152.8489 1.534 11807.116365401656 7.85
-23.347643 152.85213 4.67 11817.032017986116 17.47
-23.338087 152.84755 1.9300001 11826.947664207197 7.23
-23.31881 152.83783 1.076 11836.86330629699 6.04
-23.361412 152.8551 1.0350001 11846.778962764074 6.1
-23.356441 152.85156 1.6275 11856.694608018617 8.37
-23.339941 152.8436 1.5615001 11866.61025047017 7.5099998
-23.355843 152.85083 0.90200007 11876.525899839064 4.89
-23.33742 152.84235 0.99200004 11886.441538176383 2.995
    
-23.353142 152.8492 0.7950001 11906.272822016967 4.79
-23.355173 152.85213 0.85550004 11916.188461258484 7.56
-23.34357 152.85104 1.3495001 11926.104095379822 5.9349995
-23.325462 152.84805 0.61300004 11936.019725897058 5.7299995
-23.339357 152.85197 1.25 11945.935379231814 4.83
-23.348066 152.85226 0.92800003 11955.851030363818 7.765
-23.353432 152.85141 1.3295001 11965.766679325781 4.46
-23.358727 152.85158 1.5405 11975.682328287745 7.3499994
-23.358192 152.85092 0.768 11985.597975712502 5.09
-23.352821 152.84982 1.2425001 11995.513619068312 6.355
-23.364052 152.85693 1.628 12005.429262424004 8.65
-23.352156 152.85313 1.894 12015.344897054078 9.76
-23.337076 152.84747 1.417 12025.260529378313 9.639999
-23.335518 152.8482 1.8090001 12035.176166720921 7.2999997
-23.354225 152.85556 0.93000007 12045.091821153415 1.37
-23.34715 152.8516 0.9115001 12055.007467279094 4.18
-23.35214 152.85208 0.84800005 12064.923114601406 2.745
-23.35329 152.85013 0.908 12074.838759675156 5.565
-23.344387 152.84393 2.4965 12084.754402217106 8.844999
-23.348392 152.8461 1.5005 12094.670047923923 7.23
-23.359009 152.8535 2.0305 12104.58569471573 7.9399996
-23.34127 152.84857 0.95800006 12114.50133074727 6.2799997
-23.332178 152.84648 3.223 12124.416964699049 13.049999
-23.353905 152.8572 2.7180002 12134.33260299114 10.895
-23.33874 152.85251 2.5040002 12144.248230839497 9.71
-23.351994 152.85703 3.275 12154.163882310619 10.98
-23.334923 152.8486 1.5770001 12164.079528825532 8.375
-23.337648 152.84958 2.1085 12173.99517840345 8.045
-23.333721 152.84694 2.2120001 12183.910824291059 11.37
-23.353191 152.85376 0.98100007 12193.826473885973 6.41
-23.361145 152.85515 2.0890002 12203.742120406532 9.83
-23.355503 152.85153 1.056 12213.657764304779 2.375
-23.359898 152.85335 1.9705001 12223.573410825338 9.535
-23.346916 152.84872 1.3340001 12233.48905142321 7.335
-23.350286 152.85071 1.7535001 12243.404692789714 8.775
-23.348412 152.84949 0.8115001 12253.320330765331 4.24
-23.352215 152.85205 1.1515 12263.235968853987 7.8849998
-23.335524 152.84775 1.0510001 12273.151600906975 7.3
-23.332376 152.85175 0.88100004 12283.067234401009 6.4849997
    
-23.333069 152.84929 1.3330001 12302.898533799918 6.41
-23.358006 152.85611 2.0645 12312.814186921285 9.424999
-23.349333 152.84872 1.109 12322.729831181234 4.51
-23.350351 152.84804 1.1835 12332.645478063496 3.5149999
-23.357536 152.85222 1.8730001 12342.561126211658 6.6949997
-23.343313 152.84772 0.8765 12352.476766040898 1.1949999
-23.347902 152.85101 0.8615 12362.392406955245 3.935
-23.34761 152.85126 1.0840001 12372.308044207573 6.0699997
-23.349897 152.85266 1.417 12382.223680894647 2.45
-23.353865 152.85616 3.1245003 12392.139317999943 12.799999
-23.318493 152.84438 1.3080001 12402.054944904463 6.84
-23.327236 152.84756 2.1275 12411.970594527666 9.795
-23.33821 152.84924 2.782 12421.886247920338 10.73
-23.35754 152.85402 2.2445002 12431.801902217208 9.849999
-23.354065 152.84885 1.0795001 12441.717550726957 6.9849997
-23.353695 152.84723 2.1480002 12451.633199598524 9.23
-23.351688 152.84764 1.5215001 12461.548845757381 6.0699997
-23.334057 152.84131 5.3390007 12471.464484139928 14.384999
-23.348675 152.84885 0.82000005 12491.295760904904 5.0649996
-23.359455 152.85507 1.0515001 12501.211397275561 3.695
-23.337305 152.84933 2.7340002 12511.127024943009 12.759999
-23.337626 152.85587 2.4775 12521.04265630088 10.325
-23.342682 152.85715 2.7470002 12530.95830711082 10.7
-23.332932 152.8499 1.9340001 12540.873954535578 7.2
-23.33613 152.84738 3.1130002 12550.789603859186 12.125
-23.353754 152.8516 1.7650001 12560.705256528454 8.965
-23.348969 152.8469 1.4560001 12570.620904314914 4.06
-23.345707 152.84378 1.3075001 12580.536552372738 6.7599998
-23.328691 152.83685 1.8640001 12590.452191885503 10.415
-23.338516 152.84258 2.5830002 12600.36783320678 10.63
-23.347986 152.8475 0.6595 12610.283472561277 1.04
-23.349266 152.85007 1.19 12620.199108638044 4.095
-23.356518 152.85715 1.7350001 12630.114743855782 9.584999
-23.337622 152.85135 1.8650001 12640.030378694879 9.809999
-23.347506 152.85544 1.3345001 12649.9460288267 5.6499996
-23.333033 152.84715 1.4490001 12659.861671368591 8.03
-23.347004 152.85025 2.7445002 12669.777319788001 12.53
-23.347858 152.8482 1.093 12679.692964952264 7.0
-23.346687 152.84756 0.76 12689.608609573916 4.44
-23.36102 152.85579 2.2085001 12699.52425618493 10.54
-23.346163 152.85124 0.99100006 12709.439892352035 7.0699997
-23.334835 152.84702 1.465 12719.355526529951 8.65
-23.343092 152.85135 1.195 12729.271163985657 8.045
-23.340069 152.85156 0.88500005 12739.18679796008 1.3399999
-23.335983 152.85254 0.9165001 12749.102431177162 4.9799995
-23.333786 152.8532 1.0830001 12759.018071122351 3.74
-23.338827 152.85345 2.3920002 12768.93372151698 10.915
-23.33472 152.84912 2.4290001 12778.849368127878 10.91
-23.32474 152.84271 1.149 12788.765012749587 6.425
-23.337605 152.847 1.2270001 12798.68066261569 4.97
-23.321714 152.83978 1.4765 12808.5963047056 6.795
-23.33926 152.84889 1.5350001 12818.51195104525 7.0299997
-23.34127 152.85162 1.8735001 12828.42758951825 3.895
-23.33548 152.85085 1.4050001 12838.343223108328 6.18
-23.336897 152.85309 1.0940001 12848.258857354056 3.59
-23.339056 152.85411 3.7230003 12858.1744988336 14.69
-23.339453 152.85262 1.5790001 12868.090149310068 6.93
-23.334719 152.85002 1.1750001 12878.005796694546 5.0299997
-23.33015 152.84665 1.8470001 12887.921442238148 9.67
-23.360249 152.85733 1.171 12897.837094816961 7.925
-23.355473 152.85217 2.7810001 12907.752738896117 13.799999
-23.344582 152.84549 1.8035002 12917.668381890166 8.2699995
-23.34684 152.84619 1.5885 12927.584028410725 7.97
-23.362827 152.85324 0.9585 12937.499676784908 7.185
-23.34373 152.84506 1.7300001 12947.415313313832 7.0299997
-23.34063 152.84442 1.1070001 12957.330951153766 5.3199997
-23.354982 152.85211 1.1125001 12967.246591661242 3.28
-23.335272 152.84673 1.2490001 12977.16222249344 7.1
-23.321318 152.84525 2.3005 12987.077852494956 10.965
-23.34267 152.85385 2.3100002 12996.993504593498 8.76
    
-23.340084 152.84894 1.097 13016.824794921908 9.07
-23.36182 152.85677 1.2650001 13026.740445149713 3.03
-23.34164 152.84686 1.769 13036.656085883267 9.110001
-23.338648 152.84604 1.3155 13046.571730414522 6.0699997
-23.320734 152.83963 1.5515001 13056.487367983209 6.97
-23.3226 152.84152 0.954 13066.403006546549 4.8
-23.347034 152.85208 0.8225 13076.318648455548 6.0299997
-23.354698 152.85568 0.9935 13086.234286137333 5.68
-23.321861 152.83926 2.2635002 13096.149925876176 10.68
-23.349146 152.85107 1.9035001 13106.065578799753 8.929999
-23.34186 152.84848 1.1845 13115.981221788214 4.515
-23.321285 152.83902 1.3125 13125.8968593569 11.62
-23.32131 152.83795 1.5895001 13135.812500452157 5.085
-23.339579 152.84634 1.3465002 13145.728145254601 7.835
-23.335571 152.84665 2.1650002 13155.6437846318 10.305
-23.319176 152.84286 1.178 13165.559419126133 6.87
-23.336018 152.85416 1.6875001 13175.47505750868 8.895
-23.330835 152.85336 1.8320001 13185.390691641369 2.55
-23.318678 152.84406 1.3995001 13195.306337528978 8.74
-23.319672 152.84201 1.5355 13205.221985880518 6.47
-23.342682 152.85152 1.468 13215.137639001943 5.23
-23.334585 152.84857 1.7025001 13225.053282894602 8.844999
-23.318382 152.84195 0.99 13234.968922616448 4.61
-23.342602 152.85199 1.904 13244.884569769958 7.8199997
-23.319378 152.83954 1.187 13254.800204445142 7.4399996
-23.31999 152.83826 1.5075002 13264.715844997787 8.67
-23.358994 152.85608 1.0940001 13274.631496582064 4.1549997
-23.318773 152.83762 1.5940001 13284.547137858113 9.389999
-23.353487 152.85266 1.7935001 13294.462793918152 2.585
-23.337196 152.84436 1.1290001 13304.378434244776 7.87
-23.32108 152.83592 1.428 13314.294072175166 4.2749996
-23.348145 152.84789 1.6215 13324.20971889922 5.475
-23.321674 152.83905 2.1175003 13334.125350590446 9.36
-23.321972 152.84389 1.5035 13344.040987517743 5.23
-23.334244 152.85193 1.4185001 13353.956628598855 11.23
-23.320658 152.84299 0.8865 13363.872272768407 6.6099997
-23.340576 152.84882 1.366 13373.78792408132 8.03
-23.337364 152.84573 1.319 13383.70356978802 6.8549995
-23.320526 152.83804 2.6715002 13393.619212872582 11.6449995
-23.319956 152.83841 1.1815 13403.534858624509 4.88
-23.319206 152.8389 2.7710001 13413.450500669074 10.625
-23.346863 152.85126 1.142 13423.366146285436 5.52
-23.999376 152.99945 1.253 13427.76619086368 3.9199998
-23.32221 152.83914 0.6995 13433.28177716292 5.085
-23.322594 152.83951 0.6980001 13443.197413443122 3.62
-23.323906 152.84326 2.3615003 13453.113049598993 10.505
-23.322067 152.8453 0.7260001 13463.02868917113 5.7799997
-23.322083 152.84375 0.8865 13472.944342357456 3.6299999
-23.3364 152.84726 1.4420002 13482.859996654326 6.89
-23.320965 152.83624 1.307 13492.77564199944 1.43
-23.345749 152.84418 1.22 13502.691296115401 6.3799996
-23.343689 152.84302 3.505 13512.606942455168 15.19
-23.997381 152.99893 1.6860001 13517.006991471164 5.12
-23.3469 152.84673 1.5310001 13522.522586398642 6.9849997
-23.997816 152.99876 2.584 13526.922632740112 5.83
-23.344906 152.8486 2.29 13532.438225414138 9.264999
-23.997366 152.9996 1.5560001 13536.83827021846 5.68
-23.342606 152.84906 1.7440001 13542.353860767558 9.849999
-23.319002 152.84021 1.9740001 13552.26948868361 8.58
-23.338577 152.85104 1.1040001 13562.185130185739 5.54
-23.337479 152.8494 2.197 13572.100780775305 4.8599997
-23.319805 152.84116 1.2190001 13582.01642487559 5.475
-23.342417 152.85042 1.9930001 13591.93207573786 9.53
-23.34663 152.85027 1.5115001 13601.847719455254 9.535
-24.457851 154.20966 2.071 13631.033338606125 8.97
-24.486134 154.7785 1.9290001 13636.549323187908 7.99
-24.457909 154.2113 1.7045001 13640.948982295231 5.285
-24.472612 154.77505 5.4315004 13646.464959807228 14.029999
-24.442904 154.22008 1.059 13650.864623661735 2.12
-24.484558 154.7833 3.601 13656.380596969044 14.62
-24.454046 154.21771 2.6710002 13660.780253182864 8.37
-24.484411 154.78687 1.7080001 13666.296226580627 6.02
-24.453945 154.22198 0.85400003 13670.695882703993 6.7799997
-24.48831 154.78835 2.3850002 13676.211871111882 4.42
-24.464031 154.21327 1.7580001 13680.611533383955 6.6499996
-24.484821 154.78464 1.337 13686.127522017923 6.47
-24.441605 154.2216 1.4330001 13690.527187861735 7.47
